Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Chronic Obstructive Airway Disease	C0024117	MMP1	4312	P03956	matrix metallopeptidase 1	Enzyme	589	0.385	0.885	7.7197e-18	0.9	limited	0.875	16	3	2002.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HMOX1	3162	P09601	heme oxygenase 1		666	0.381	0.923	0.0096817	0.7		0.9	20	1	2005.0	2020.0
Chronic Obstructive Airway Disease	C0024117	SFTPD	6441	P35247	surfactant protein D	Surfactant	194	0.5	0.846	7.4927e-05	0.7		0.917	24	8	2001.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HDAC2	3066	Q92769	histone deacetylase 2	Epigenetic regulator	257	0.476	0.846	0.99997	0.6		1.0	23	0	2004.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MMP9	4318	P14780	matrix metallopeptidase 9	Enzyme	1337	0.305	0.923	1.8869e-17	0.6		0.979	48	4	2002.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TGFB1	7040	P01137	transforming growth factor beta 1	Signaling	1558	0.287	0.962	0.03685	0.6		0.911	45	5	1994.0	2020.0
Chronic Obstructive Airway Disease	C0024117	FAM13A	10144	O94988	family with sequence similarity 13 member A		64	0.653	0.462	1.8976e-18	0.5		1.0	31	12	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SERPINA1	5265	P01009	serpin family A member 1	Enzyme modulator	482	0.41	0.923	6.8497e-08	0.5		0.99	101	30	1977.0	2020.0
Chronic Obstructive Airway Disease	C0024117	DSP	1832	P15924	desmoplakin	Cellular structure	191	0.514	0.808	0.99978	0.42		1.0	3	1	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ELN	2006	P15502	elastin		545	0.415	0.885	2.1429e-14	0.4		1.0	28	1	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	EPHX1	2052	P07099	epoxide hydrolase 1		196	0.5	0.846	3.2154e-09	0.4		0.923	26	3	1997.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MTCL1	23255	Q9Y4B5	microtubule crosslinking factor 1		11	0.839	0.192	8.834e-05	0.4		1.0	2	1	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IL6	3569	P05231	interleukin 6		2367	0.248	0.962	0.31536	0.4		0.967	60	1	2006.0	2020.0
Chronic Obstructive Airway Disease	C0024117	CXCL8	3576	P10145	C-X-C motif chemokine ligand 8	Signaling	1254	0.31	0.962	0.00027377	0.4		0.965	57	0	2000.0	2020.0
Chronic Obstructive Airway Disease	C0024117	EEFSEC	60678	P57772	eukaryotic elongation factor, selenocysteine-tRNA specific	Enzyme	23	0.751	0.385	2.6975e-08	0.4		1.0	3	2	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TNF	7124	P01375	tumor necrosis factor	Signaling	2724	0.231	0.962	0.8033	0.4		0.952	84	3	2000.0	2020.0
Chronic Obstructive Airway Disease	C0024117	NOS3	4846	P29474	nitric oxide synthase 3		706	0.378	0.885	6.7246e-07	0.38		1.0	8	1	2003.0	2015.0
Chronic Obstructive Airway Disease	C0024117	CYP1A1	1543	P04798	cytochrome P450 family 1 subfamily A member 1	Enzyme	379	0.436	0.846	1.0635e-17	0.37		1.0	8	0	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SOD3	6649	P08294	superoxide dismutase 3	Enzyme	138	0.531	0.808	0.00072272	0.37		1.0	8	3	2006.0	2019.0
Chronic Obstructive Airway Disease	C0024117	FOXO3	2309	O43524	forkhead box O3		381	0.431	0.808	0.98806	0.35		1.0	6	0	2011.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NOS2	4843	P35228	nitric oxide synthase 2		783	0.364	0.923	4.0277e-15	0.35		0.833	6	0	2003.0	2015.0
Chronic Obstructive Airway Disease	C0024117	CXCL1	2919	P09341	C-X-C motif chemokine ligand 1	Signaling	315	0.449	0.923	0.11845	0.34		1.0	5	0	2013.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CYP1A2	1544	P05177	cytochrome P450 family 1 subfamily A member 2	Enzyme	218	0.494	0.923	2.4795e-10	0.33		1.0	3	0	2008.0	2010.0
Chronic Obstructive Airway Disease	C0024117	HTR2A	3356	P28223	5-hydroxytryptamine receptor 2A	G-protein coupled receptor	289	0.473	0.846	0.51124	0.33		1.0	3	1	2012.0	2020.0
Chronic Obstructive Airway Disease	C0024117	TRPV4	59341	Q9HBA0	transient receptor potential cation channel subfamily V member 4	Ion channel	422	0.457	0.808	2.237e-16	0.33		1.0	4	0	2009.0	2011.0
Chronic Obstructive Airway Disease	C0024117	RAPGEF3	10411	O95398	Rap guanine nucleotide exchange factor 3	Enzyme modulator	99	0.593	0.692	7.0737e-23	0.32		1.0	2	0	2012.0	2019.0
